,bib_url,ID,title,editor,month,year,address,publisher,url,author,booktitle,doi,pages,abstract,journal,volume,ISBN,language
257,/2020.coling-main.258.bib,258,"Computational Modeling of Affixoid Behavior in {C}hinese Morphology"",","Scott, Donia  and","dec,","2020"",","Barcelona, Spain (Online)"",","International Committee on Computational Linguistics"",","https://aclanthology.org/2020.coling-main.258/"",","Tseng, Yu-Hsiang  and","Proceedings of the 28th International Conference on Computational Linguistics"",","10.18653/v1/2020.coling-main.258"",",2879--2888,"The morphological status of affixes in Chinese has long been a matter of debate. How one might apply the conventional criteria of free/bound and content/function features to distinguish word-forming affixes from bound roots in Chinese is still far from clear. Issues involving polysemy and diachronic dynamics further blur the boundaries. In this paper, we propose three quantitative features in a computational model of affixoid behavior in Mandarin Chinese. The results show that, except for in a very few cases, there are no clear criteria that can be used to identify an affix’s status in an isolating language like Chinese. A diachronic check using contextualized embeddings with the WordNet Sense Inventory also demonstrates the possible role of the polysemy of lexical roots across diachronic settings.",,,,
632,/2020.conll-1.21.bib,21,"Modelling Lexical Ambiguity with Density Matrices"",","Fern{\'a}ndez, Raquel  and","nov,","2020"",","Online"",","Association for Computational Linguistics"",","https://aclanthology.org/2020.conll-1.21/"",","Meyer, Francois  and","Proceedings of the 24th Conference on Computational Natural Language Learning"",","10.18653/v1/2020.conll-1.21"",",276--290,"Words can have multiple senses. Compositional distributional models of meaning have been argued to deal well with finer shades of meaning variation known as polysemy, but are not so well equipped to handle word senses that are etymologically unrelated, or homonymy. Moving from vectors to density matrices allows us to encode a probability distribution over different senses of a word, and can also be accommodated within a compositional distributional model of meaning. In this paper we present three new neural models for learning density matrices from a corpus, and test their ability to discriminate between word senses on a range of compositional datasets. When paired with a particular composition method, our best model outperforms existing vector-based compositional models as well as strong sentence encoders.",,,,
695,/2020.tacl-1.31.bib,31,"A Neural Generative Model for Joint Learning Topics and Topic-Specific Word Embeddings"",","Johnson, Mark  and",,"2020"",","Cambridge, MA"",","MIT Press"",","https://aclanthology.org/2020.tacl-1.31/"",","Zhu, Lixing  and",,"10.1162/tacl_a_00326"",",471--485,"We propose a novel generative model to explore both local and global context for joint learning topics and topic-specific word embeddings. In particular, we assume that global latent topics are shared across documents, a word is generated by a hidden semantic vector encoding its contextual semantic meaning, and its context words are generated conditional on both the hidden semantic vector and global latent topics. Topics are trained jointly with the word embeddings. The trained model maps words to topic-dependent embeddings, which naturally addresses the issue of word polysemy. Experimental results show that the proposed model outperforms the word-level embedding methods in both word similarity evaluation and word sense disambiguation. Furthermore, the model also extracts more coherent topics compared with existing neural topic models or other models for joint learning of topics and word embeddings. Finally, the model can be easily integrated with existing deep contextualized word embedding learning methods to further improve the performance of downstream tasks such as sentiment classification.","Transactions of the Association for Computational Linguistics"",","8"",",,
815,/2021.eacl-main.45.bib,45,"P}oly{LM}: Learning about Polysemy through Language Modeling"",","Merlo, Paola  and","apr,","2021"",","Online"",","Association for Computational Linguistics"",","https://aclanthology.org/2021.eacl-main.45/"",","Ansell, Alan  and","Proceedings of the 16th Conference of the European Chapter of the Association for Computational Linguistics: Main Volume"",","10.18653/v1/2021.eacl-main.45"",",563--574,"To avoid the “meaning conflation deficiency” of word embeddings, a number of models have aimed to embed individual word senses. These methods at one time performed well on tasks such as word sense induction (WSI), but they have since been overtaken by task-specific techniques which exploit contextualized embeddings. However, sense embeddings and contextualization need not be mutually exclusive. We introduce PolyLM, a method which formulates the task of learning sense embeddings as a language modeling problem, allowing contextualization techniques to be applied. PolyLM is based on two underlying assumptions about word senses: firstly, that the probability of a word occurring in a given context is equal to the sum of the probabilities of its individual senses occurring; and secondly, that for a given occurrence of a word, one of its senses tends to be much more plausible in the context than the others. We evaluate PolyLM on WSI, showing that it performs considerably better than previous sense embedding techniques, and matches the current state-of-the-art specialized WSI method despite having six times fewer parameters. Code and pre-trained models are available at https://github.com/AlanAnsell/PolyLM.",,,,
1067,/2021.eacl-main.297.bib,297,"Unsupervised Word Polysemy Quantification with Multiresolution Grids of Contextual Embeddings"",","Merlo, Paola  and","apr,","2021"",","Online"",","Association for Computational Linguistics"",","https://aclanthology.org/2021.eacl-main.297/"",","Xypolopoulos, Christos  and","Proceedings of the 16th Conference of the European Chapter of the Association for Computational Linguistics: Main Volume"",","10.18653/v1/2021.eacl-main.297"",",3391--3401,"The number of senses of a given word, or polysemy, is a very subjective notion, which varies widely across annotators and resources. We propose a novel method to estimate polysemy based on simple geometry in the contextual embedding space. Our approach is fully unsupervised and purely data-driven. Through rigorous experiments, we show that our rankings are well correlated, with strong statistical significance, with 6 different rankings derived from famous human-constructed resources such as WordNet, OntoNotes, Oxford, Wikipedia, etc., for 6 different standard metrics. We also visualize and analyze the correlation between the human rankings and make interesting observations. A valuable by-product of our method is the ability to sample, at no extra cost, sentences containing different senses of a given word. Finally, the fully unsupervised nature of our approach makes it applicable to any language. Code and data are publicly available https://github.com/ksipos/polysemy-assessment .",,,,
1405,/2021.naacl-main.309.bib,309,"Multi-Hop Transformer for Document-Level Machine Translation"",","Toutanova, Kristina  and","jun,","2021"",","Online"",","Association for Computational Linguistics"",","https://aclanthology.org/2021.naacl-main.309/"",","Zhang, Long  and","Proceedings of the 2021 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies"",","10.18653/v1/2021.naacl-main.309"",",3953--3963,"Document-level neural machine translation (NMT) has proven to be of profound value for its effectiveness on capturing contextual information. Nevertheless, existing approaches 1) simply introduce the representations of context sentences without explicitly characterizing the inter-sentence reasoning process; and 2) feed ground-truth target contexts as extra inputs at the training time, thus facing the problem of exposure bias. We approach these problems with an inspiration from human behavior – human translators ordinarily emerge a translation draft in their mind and progressively revise it according to the reasoning in discourse. To this end, we propose a novel Multi-Hop Transformer (MHT) which offers NMT abilities to explicitly model the human-like draft-editing and reasoning process. Specifically, our model serves the sentence-level translation as a draft and properly refines its representations by attending to multiple antecedent sentences iteratively. Experiments on four widely used document translation tasks demonstrate that our method can significantly improve document-level translation performance and can tackle discourse phenomena, such as coreference error and the problem of polysemy.",,,,
1428,/2021.naacl-main.332.bib,332,"Multi-source Neural Topic Modeling in Multi-view Embedding Spaces"",","Toutanova, Kristina  and","jun,","2021"",","Online"",","Association for Computational Linguistics"",","https://aclanthology.org/2021.naacl-main.332/"",","Gupta, Pankaj  and","Proceedings of the 2021 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies"",","10.18653/v1/2021.naacl-main.332"",",4205--4217,"Though word embeddings and topics are complementary representations, several past works have only used pretrained word embeddings in (neural) topic modeling to address data sparsity in short-text or small collection of documents. This work presents a novel neural topic modeling framework using multi-view embed ding spaces: (1) pretrained topic-embeddings, and (2) pretrained word-embeddings (context-insensitive from Glove and context-sensitive from BERT models) jointly from one or many sources to improve topic quality and better deal with polysemy. In doing so, we first build respective pools of pretrained topic (i.e., TopicPool) and word embeddings (i.e., WordPool). We then identify one or more relevant source domain(s) and transfer knowledge to guide meaningful learning in the sparse target domain. Within neural topic modeling, we quantify the quality of topics and document representations via generalization (perplexity), interpretability (topic coherence) and information retrieval (IR) using short-text, long-text, small and large document collections from news and medical domains. Introducing the multi-source multi-view embedding spaces, we have shown state-of-the-art neural topic modeling using 6 source (high-resource) and 5 target (low-resource) corpora.",,,,
1623,/2021.tacl-1.50.bib,50,"Let{'}s Play Mono-Poly: {BERT} Can Reveal Words' Polysemy Level and Partitionability into Senses"",","Roark, Brian  and",,"2021"",","Cambridge, MA"",","MIT Press"",","https://aclanthology.org/2021.tacl-1.50/"",","Gar{\'i} Soler, Aina  and",,"10.1162/tacl_a_00400"",",825--844,"Pre-trained language models (LMs) encode rich information about linguistic structure but their knowledge about lexical polysemy remains unclear. We propose a novel experimental setup for analyzing this knowledge in LMs specifically trained for different languages (English, French, Spanish, and Greek) and in multilingual BERT. We perform our analysis on datasets carefully designed to reflect different sense distributions, and control for parameters that are highly correlated with polysemy such as frequency and grammatical category. We demonstrate that BERT-derived representations reflect words’ polysemy level and their partitionability into senses. Polysemy-related information is more clearly present in English BERT embeddings, but models in other languages also manage to establish relevant distinctions between words at different polysemy levels. Our results contribute to a better understanding of the knowledge encoded in contextualized representations and open up new avenues for multilingual lexical semantics research.","Transactions of the Association for Computational Linguistics"",","9"",",,
1654,/2021.tacl-1.81.bib,81,"A Biologically Plausible Parser"",","Roark, Brian  and",,"2021"",","Cambridge, MA"",","MIT Press"",","https://aclanthology.org/2021.tacl-1.81/"",","Mitropolsky, Daniel  and",,"10.1162/tacl_a_00432"",",1374--1388,"We describe a parser of English effectuated by biologically plausible neurons and synapses, and implemented through the Assembly Calculus, a recently proposed computational framework for cognitive function. We demonstrate that this device is capable of correctly parsing reasonably nontrivial sentences.1 While our experiments entail rather simple sentences in English, our results suggest that the parser can be extended beyond what we have implemented, to several directions encompassing much of language. For example, we present a simple Russian version of the parser, and discuss how to handle recursion, embedding, and polysemy.","Transactions of the Association for Computational Linguistics"",","9"",",,
1673,/2022.coling-1.7.bib,7,"Metaphorical Polysemy Detection: Conventional Metaphor Meets Word Sense Disambiguation"",","Calzolari, Nicoletta  and","oct,","2022"",","Gyeongju, Republic of Korea"",","International Committee on Computational Linguistics"",","https://aclanthology.org/2022.coling-1.7/"",","Maudslay, Rowan Hall  and","Proceedings of the 29th International Conference on Computational Linguistics"",",,65--77,"Linguists distinguish between novel and conventional metaphor, a distinction which the metaphor detection task in NLP does not take into account. Instead, metaphoricity is formulated as a property of a token in a sentence, regardless of metaphor type. In this paper, we investigate the limitations of treating conventional metaphors in this way, and advocate for an alternative which we name ‘metaphorical polysemy detection’ (MPD). In MPD, only conventional metaphoricity is treated, and it is formulated as a property of word senses in a lexicon. We develop the first MPD model, which learns to identify conventional metaphors in the English WordNet. To train it, we present a novel training procedure that combines metaphor detection with ‘word sense disambiguation’ (WSD). For evaluation, we manually annotate metaphor in two subsets of WordNet. Our model significantly outperforms a strong baseline based on a state-of-the-art metaphor detection model, attaining an ROC-AUC score of .78 (compared to .65) on one of the sets. Additionally, when paired with a WSD model, our approach outperforms a state-of-the-art metaphor detection model at identifying conventional metaphors in text (.659 F1 compared to .626).",,,,
