author,title,year,isbn,publisher,address,url,doi,abstract,booktitle,articleno,numpages,keywords,location,series,pages
"Pang, Rock Yuren and Maheshwari, Rohit and Yu, Julie and Reinecke, Katharina",Synthetic Conversation: How Computing Researchers Engage Multi-Perspective Dialogues to Brainstorm Societal Impacts,2025,9798400713958,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3706599.3719747,10.1145/3706599.3719747,"There have been increasing calls for computing researchers to consider the negative societal impacts of their work. However, anticipating these impacts remains challenging, as computing researchers often do not have access to diverse perspectives. Here, we explore how computing researchers brainstorm the negative societal impacts of computing innovations using a multi-agent dialog prototype called Weaver as a probe that represents synthetic stakeholder conversations. Through think-aloud sessions and interviews with 12 participants, we evaluate how computing researchers perceive and engage with such a system, and whether they find it beneficial compared to using no such system or using ChatGPT. Our findings revealed that participants valued the conversations with the multi-agent system and considered societal impacts from new angles. Participants reported gaining insights and agency to reflect on issues rather than passively consuming pre-generated content. We discuss the findings, implications, and next steps for using a multi-agent system to brainstorm about the societal impacts of computing technologies.",Proceedings of the Extended Abstracts of the CHI Conference on Human Factors in Computing Systems,497,7,"Multi-agent systems, Brainstorming, Human-AI Interaction, LLM",,CHI EA '25,
"Liu, Yimeng and Ritchie, Jacob and Kratz, Sven and Sra, Misha and Smith, Brian A. and Monroy-Hern\'{a}ndez, Andr\'{e}s and Vaish, Rajan",Memento Player: Shared Multi-Perspective Playback of Volumetrically-Captured Moments in Augmented Reality,2023,9781450394222,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3544549.3585588,10.1145/3544549.3585588,"Capturing and reliving memories allow us to record, understand and share our past experiences. Currently, the most common approach to revisiting past moments is viewing photos and videos. These 2D media capture past events that reflect a recorder’s first-person perspective. The development of technology for accurately capturing 3D content presents an opportunity for new types of memory reliving, allowing greater immersion without perspective limitations. In this work, we adopt 2D and 3D moment-recording techniques and build a moment-reliving experience in AR that combines both display methods. Specifically, we use AR glasses to record 2D point-of-view (POV) videos, and volumetric capture to reconstruct 3D moments in AR. We allow seamless switching between AR and POV videos to enable immersive moment reliving and viewing of high-resolution details. Users can also navigate to a specific point in time using playback controls. Control is synchronized between multiple users for shared viewing.",Extended Abstracts of the 2023 CHI Conference on Human Factors in Computing Systems,205,9,"augmented reality, moment reliving, multi-perspective, shared and social experience, volumetric capture","Hamburg, Germany",CHI EA '23,
"Meyer, Anna P. and Kim, Yea-Seul and D'Antoni, Loris and Albarghouthi, Aws",Perceptions of the Fairness Impacts of Multiplicity in Machine Learning,2025,9798400713941,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3706598.3713524,10.1145/3706598.3713524,"Machine learning (ML) is increasingly used in high-stakes settings, yet multiplicity – the existence of multiple good models – means that some predictions are essentially arbitrary. ML researchers and philosophers posit that multiplicity poses a fairness risk, but no studies have investigated whether stakeholders agree. In this work, we conduct a survey to see how multiplicity impacts lay stakeholders’ – i.e., decision subjects’ – perceptions of ML fairness, and which approaches to address multiplicity they prefer. We investigate how these perceptions are modulated by task characteristics (e.g., stakes and uncertainty). Survey respondents think that multiplicity threatens the fairness of model outcomes, but not the appropriateness of using the model, even though existing work suggests the opposite. Participants are strongly against resolving multiplicity by using a single model (effectively ignoring multiplicity) or by randomizing the outcomes. Our results indicate that model developers should be intentional about dealing with multiplicity in order to maintain fairness.",Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,524,15,"Fairness, Fairness Perceptions, Fairness in Machine Learning, Multiplicity, Stakeholder Survey",,CHI '25,
"Howell, Noura and F. Schulte, Britta and Twigger Holroyd, Amy and Fat\'{a}s Arana, Roc\'{\i}o and Sharma, Sumita and Eden, Grace",Calling for a Plurality of Perspectives on Design Futuring: An Un-Manifesto,2021,9781450380959,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3411763.3450364,10.1145/3411763.3450364,"The Futures Cone, a prominent model in design futuring, is useful for promoting discussions about possible, plausible, probable, and preferable futures. Yet this model has limitations, such as representing diverse human experiences as a singular point of “the present” and implicitly embedding notions of linear progress. Responding to this, we argue that a plurality of perspectives is needed to engage imaginations that depict a diverse unfolding of potential futures. Through reflecting on our own cultural and professional backgrounds, we offer five perspectives for design futuring as a contribution to this plurality: Parallel Presents, “I Am Time”, Epithelial Metaphors, the Uncertainties Cone, and Meet (with) “Speculation”. These perspectives open alternative approaches to design futuring, move outside prevalent notions of technological progress, and foreground interdependent, relational agencies.",Extended Abstracts of the 2021 CHI Conference on Human Factors in Computing Systems,31,10,"design futuring, discursive design, plurality, speculative design, un-manifesto","Yokohama, Japan",CHI EA '21,
"Rankin, Yolanda A. and Han, Na-eun",Exploring the Plurality of Black Women's Gameplay Experiences,2019,9781450359702,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3290605.3300369,10.1145/3290605.3300369,"Few gender-focused studies of video games explore the gameplay experiences of women of color, and those that do tend to only emphasize negative phenomena (i.e., racial or gender discrimination). In this paper, we conduct an exploratory case study attending to the motivations and gaming practices of Black college women. Questionnaire responses and focus group discussion illuminate the plurality of gameplay experiences for this specific population of Black college women. Sixty-five percent of this population enjoy the ubiquity of mobile games with casual and puzzle games being the most popular genres. However, academic responsibilities and competing recreational interests inhibit frequent gameplay. Consequently, this population of Black college women represent two types of casual gamers who report positive gameplay experiences, providing insights into creating a more inclusive gaming subculture.",Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems,31,12,"black women, gaming, gendered game studies, intersectionality","Glasgow, Scotland Uk",CHI '19,1–12
"Diamond, Lindsay Levkoff and Batan, Hande and Anderson, Jennings and Palen, Leysia",The Polyvocality of Online COVID-19 Vaccine Narratives that Invoke Medical Racism,2022,9781450391573,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3491102.3501892,10.1145/3491102.3501892,"Vaccine hesitancy has always been a public health concern, and anti-vaccine campaigns that proliferate disinformation have gained traction across the US in the last 25 years. The demographics of resistance are varied, with health, religious, and, increasingly, political concerns cited as reasons. With the COVID-19 pandemic igniting the fastest development of vaccines to date, mis- and disinformation about them have become inflammatory, with campaigning allegedly including racial targeting. Through a primarily qualitative investigation, this study inductively examines a large online vaccine discussion space that invokes references to the unethical Tuskegee Syphilis Study to understand how tactics of racial targeting of Black Americans might appear publicly. We find that such targeting is entangled with a genuine discussion about medical racism and vaccine hesitancy. Across 12 distinct voices that address race, medical racism, and vaccines, we discuss how mis- and disinformation sit alongside accurate information in a “polyvocal” space.",Proceedings of the 2022 CHI Conference on Human Factors in Computing Systems,145,21,"Anti-Vaccine, COVID-19, Disinformation, Medical Racism, Misinformation, Pandemic, Public Health, Social Media, Vaccines","New Orleans, LA, USA",CHI '22,1–12
"Ashkinaze, Joshua and Fry, Emily and Edara, Narendra and Gilbert, Eric and Budak, Ceren",Plurals: A System for Guiding LLMs via Simulated Social Ensembles,2025,9798400713941,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3706598.3713675,10.1145/3706598.3713675,"Recent debates raised concerns that language models may favor certain viewpoints. But what if the solution is not to aim for a “view from nowhere” but rather to leverage different viewpoints? We introduce Plurals, a system and Python library for pluralistic AI deliberation. Plurals consists of Agents (LLMs, optionally with personas) which deliberate within customizable Structures, with Moderators overseeing deliberation. Plurals is a generator of simulated social ensembles. Plurals integrates with government datasets to create nationally representative personas, includes deliberation templates inspired by deliberative democracy, and allows users to customize both information-sharing structures and deliberation behavior within Structures. Six case studies demonstrate fidelity to theoretical constructs and efficacy. Three randomized experiments show simulated focus groups produced output resonant with an online sample of the relevant audiences (chosen over zero-shot generation in 75% of trials). Plurals is both a paradigm and a concrete system for pluralistic AI.",Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,245,21,"Human-Computer Interaction, Human-AI Interaction, Artificial Intelligence, Multi-Agent Systems, Pluralism",,CHI '25,1–12
"B\o{}dker, Susanne and Klokmose, Clemens Nylandsted","Dynamics, Multiplicity and Conceptual Blends in HCI",2016,9781450333627,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/2858036.2858530,10.1145/2858036.2858530,"Discussions on what makes user interfaces ""natural"" or ""intuitive"" have led researchers to apply Fauconnier and Turner's theory of Conceptual Blends to explain how users rely on familiar and real-world concepts when they learn to use new digital technologies -- as a blend of experiences from the --physical and the ""digital"" world. This pursuit has multiple challenges of which we address four: The continuous dynamic development of experiences; the multiplicity and complexity involved; the distinction between ""real"" and ""virtual"" experiences, and finally applying descriptive concepts predictively. Based on our background in activity theoretical HCI we discuss two cases to nuance the discussion of conceptual blends and HCI. We provide an understanding of conceptual blends beyond one-to-one static blends, and immediately recognizable concepts. We focus on multiplicity, dynamics and learning, and in that we provide a more advanced methodological scaffolding of analyses of conceptual blends, hence we propose that designers need to seed blends in design.",Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems,245,11,"interaction design, conceptual blends, activity theory","San Jose, California, USA",CHI '16,2538–2548
"Green, David Philip and Bowen, Simon and Hook, Jonathan and Wright, Peter","Enabling Polyvocality in Interactive Documentaries through ""Structural Participation""",2017,9781450346559,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3025453.3025606,10.1145/3025453.3025606,"Recent innovations in online, social and interactive media have led to the emergence of new forms of documentary, such as interactive documentaries ('i-Docs'), with qualities that lend themselves to more open and inclusive production structures. Still, little is known about the experience of making and/or participating-in these kinds of documentary. Our two-year in-the-wild study engaged a large community-of-interest in the production of an i-Doc to explore the ethically-desirable yet challenging aim of enabling multiple subjects to have agency and control over their representation in a documentary. Our study reveals insights into the experiences of participating in an i-Doc and highlights key sociotechnical challenges. We argue that new sociotechnical infrastructure is needed, that frames both ""executory"" and ""structural"" forms of participation as symbiotic elements of a co-design process.",Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems,245,13,"authorship, co-design, documentary, grassroots, i-docs, interactivity, narrative, participation","Denver, Colorado, USA",CHI '17,6317–6329
"Xu, Shuchang and Jin, Xiaofu and Qu, Huamin and Yan, Yukang",DanmuA11y: Making Time-Synced On-Screen Video Comments (Danmu) Accessible to Blind and Low Vision Users via Multi-Viewer Audio Discussions,2025,9798400713941,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3706598.3713496,10.1145/3706598.3713496,"By overlaying time-synced user comments on videos, Danmu creates a co-watching experience for online viewers. However, its visual-centric design poses significant challenges for blind and low vision (BLV) viewers. Our formative study identified three primary challenges that hinder BLV viewers’ engagement with Danmu: the lack of visual context, the speech interference between comments and videos, and the disorganization of comments. To address these challenges, we present DanmuA11y, a system that makes Danmu accessible by transforming it into multi-viewer audio discussions. DanmuA11y incorporates three core features: (1) Augmenting Danmu with visual context, (2) Seamlessly integrating Danmu into videos, and (3) Presenting Danmu via multi-viewer discussions. Evaluation with twelve BLV viewers demonstrated that DanmuA11y significantly improved Danmu comprehension, provided smooth viewing experiences, and fostered social connections among viewers. We further highlight implications for enhancing commentary accessibility in video-based social media and live-streaming platforms.",Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,293,22,"Visual Impairment, Blind, Low Vision, Video, Social Media, Danmaku, Danmu, Bullet Comment",,CHI '25,6317–6329
