author,title,year,isbn,publisher,address,url,doi,abstract,booktitle,pages,numpages,keywords,location,series,articleno
"Khademi, Maryam and Fan, Mingming and Mousavi Hondori, Hossein and Lopes, Cristina Videira},","Multi-perspective multi-layer interaction on mobile device},","2013},","9781450324069},","Association for Computing Machinery},","New York, NY, USA},","https://doi.org/10.1145/2508468.2514712},","10.1145/2508468.2514712},","We propose a novel multi-perspective multi-layer interaction using a mobile device, which provides an immersive experience of 3D navigation through an object. The mobile device serves as a window, through which the user can observe the object in detail from various perspectives by orienting the device differently. Various layers of the object can also be shown while users move the device away and toward themselves. Our approach is real-time, completely mobile (running on Android) and does not depend on external sensor/displays (e.g., camera and projector).},","Adjunct Proceedings of the 26th Annual ACM Symposium on User Interface Software and Technology},","65–66},","2},","mobile, multi-layer interaction, multi-perspective, optical flow, spatially aware displays},","St. Andrews, Scotland, United Kingdom},",UIST '13 Adjunct,
"Yu, Zihao and Diakopoulos, Nicholas and Naaman, Mor},","The multiplayer: multi-perspective social video navigation},","2010},","9781450304627},","Association for Computing Machinery},","New York, NY, USA},","https://doi.org/10.1145/1866218.1866246},","10.1145/1866218.1866246},","We present a multi-perspective video ""multiplayer"" designed to organize social video aggregated from online sites like YouTube. Our system automatically time-aligns videos using audio fingerprinting, thus bringing them into a unified temporal frame. The interface utilizes social metadata to visually aid navigation and cue users to more interesting portions of an event. We provide details about the visual and interaction design rationale of the multiplayer.},","Adjunct Proceedings of the 23nd Annual ACM Symposium on User Interface Software and Technology},","413–414},","2},","multi-perspective, social media, video},","New York, New York, USA},",UIST '10,
"Johns, Christoph Albert and Evangelista Belo, Jo\~{a}o Marcelo and Feit, Anna Maria and Klokmose, Clemens Nylandsted and Pfeuffer, Ken},","Towards Flexible and Robust User Interface Adaptations With Multiple Objectives},","2023},","9798400701320},","Association for Computing Machinery},","New York, NY, USA},","https://doi.org/10.1145/3586183.3606799},","10.1145/3586183.3606799},","This paper proposes a new approach for online UI adaptation that aims to overcome the limitations of the most commonly used UI optimization method involving multiple objectives: weighted sum optimization. Weighted sums are highly sensitive to objective formulation, limiting the effectiveness of UI adaptations. We propose ParetoAdapt, an adaptation approach that uses online multi-objective optimization with a posteriori articulated preferences—that is, articulation of preferences after the optimization has concluded—to make UI adaptation robust to incomplete and inaccurate objective formulations. It offers users a flexible way to control adaptations by selecting from a set of Pareto optimal adaptation proposals and adjusting them to fit their needs. We showcase the feasibility and flexibility of ParetoAdapt by implementing an online layout adaptation system in a state-of-the-art 3D UI adaptation framework. We further evaluate its robustness and run-time in simulation-based experiments that allow us to systematically change the accuracy of the estimated user preferences. We conclude by discussing how our approach may impact the usability and practicality of online UI adaptations.},","Proceedings of the 36th Annual ACM Symposium on User Interface Software and Technology},","413–414},","17},","Pareto frontier, multi-objective optimization, online UI adaptation},","San Francisco, CA, USA},",UIST '23,"108},"
"Marquardt, Nicolai and Henry Riche, Nathalie and Holz, Christian and Romat, Hugo and Pahud, Michel and Brudy, Frederik and Ledo, David and Park, Chunjong and Nicholas, Molly Jane and Seyed, Teddy and Ofek, Eyal and Lee, Bongshin and Buxton, William A.S. and Hinckley, Ken},","AirConstellations: In-Air Device Formations for Cross-Device Interaction via Multiple Spatially-Aware Armatures},","2021},","9781450386357},","Association for Computing Machinery},","New York, NY, USA},","https://doi.org/10.1145/3472749.3474820},","10.1145/3472749.3474820},","AirConstellations supports a unique semi-fixed style of cross-device interactions via multiple self-spatially-aware armatures to which users can easily attach (or detach) tablets and other devices. In particular, AirConstellations affords highly flexible and dynamic device formations where the users can bring multiple devices together in-air&nbsp;—&nbsp;with 2–5 armatures poseable in 7DoF within the same workspace&nbsp;—&nbsp;to suit the demands of their current task, social situation, app scenario, or mobility needs. This affords an interaction metaphor where relative orientation, proximity, attaching (or detaching) devices, and continuous movement into and out of ad-hoc ensembles can drive context-sensitive interactions. Yet all devices remain self-stable in useful configurations even when released in mid-air. We explore flexible physical arrangement, feedforward of transition options, and layering of devices in-air across a variety of multi-device app scenarios. These include video conferencing with flexible arrangement of the person-space of multiple remote participants around a shared task-space, layered and tiled device formations with overview+detail and shared-to-personal transitions, and flexible composition of UI panels and tool palettes across devices for productivity applications. A preliminary interview study highlights user reactions to AirConstellations, such as for minimally disruptive device formations, easier physical transitions, and balancing ”seeing and being seen” in remote work.},","The 34th Annual ACM Symposium on User Interface Software and Technology},","1252–1268},","17},","SurfaceFleet, cross-device computing, cross-device tracking, device ecologies, device formations, interaction techniques, multi-device, platform, semi-fixed workspaces},","Virtual Event, USA},",UIST '21,"108},"
"Suzuki, Ryo and Ofek, Eyal and Sinclair, Mike and Leithinger, Daniel and Gonzalez-Franco, Mar},","HapticBots: Distributed Encountered-type Haptics for VR with Multiple Shape-changing Mobile Robots},","2021},","9781450386357},","Association for Computing Machinery},","New York, NY, USA},","https://doi.org/10.1145/3472749.3474821},","10.1145/3472749.3474821},","HapticBots introduces a novel encountered-type haptic approach for Virtual Reality (VR) based on multiple tabletop-size shape-changing robots. These robots move on a tabletop and change their height and orientation to haptically render various surfaces and objects on-demand. Compared to previous encountered-type haptic approaches like shape displays or robotic arms, our proposed approach has an advantage in deployability, scalability, and generalizability—these robots can be easily deployed due to their compact form factor. They can support multiple concurrent touch points in a large area thanks to the distributed nature of the robots. We propose and evaluate a novel set of interactions enabled by these robots which include: 1) rendering haptics for VR objects by providing just-in-time touch-points on the user’s hand, 2) simulating continuous surfaces with the concurrent height and position change, and 3) enabling the user to pick up and move VR objects through graspable proxy objects. Finally, we demonstrate HapticBots with various applications, including remote collaboration, education and training, design and 3D modeling, and gaming and entertainment.},","The 34th Annual ACM Symposium on User Interface Software and Technology},","1269–1281},","13},","encountered-type haptics, swarm user interfaces, tabletop mobile robots, virtual reality},","Virtual Event, USA},",UIST '21,"108},"
"Nacenta, Miguel A. and Sakurai, Satoshi and Yamaguchi, Tokuo and Miki, Yohei and Itoh, Yuichi and Kitamura, Yoshifumi and Subramanian, Sriram and Gutwin, Carl},","E-conic: a perspective-aware interface for multi-display environments},","2007},","9781595936790},","Association for Computing Machinery},","New York, NY, USA},","https://doi.org/10.1145/1294211.1294260},","10.1145/1294211.1294260},","Multi-display environments compose displays that can be at different locations from and different angles to the user; as a result, it can become very difficult to manage windows, read text, and manipulate objects. We investigate the idea of perspective as a way to solve these problems in multi-display environments. We first identify basic display and control factors that are affected by perspective, such as visibility, fracture, and sharing. We then present the design and implementation of E-conic, a multi-display multi-user environment that uses location data about displays and users to dynamically correct perspective. We carried out a controlled experiment to test the benefits of perspective correction in basic interaction tasks like targeting, steering, aligning, pattern-matching and reading. Our results show that perspective correction significantly and substantially improves user performance in all these tasks.},","Proceedings of the 20th Annual ACM Symposium on User Interface Software and Technology},","279–288},","10},","legibility, multi-display environments, pattern matching, perspective-aware interfaces, steering, targeting},","Newport, Rhode Island, USA},",UIST '07,"108},"
"Sasaki, Masato and Nagamatsu, Takashi and Takemura, Kentaro},","Cross-Ratio Based Gaze Estimation for Multiple Displays using a Polarization Camera},","2019},","9781450368179},","Association for Computing Machinery},","New York, NY, USA},","https://doi.org/10.1145/3332167.3357095},","10.1145/3332167.3357095},","While eye tracking has been typically used for achieving intuitive user interfaces, it is not sufficient when it comes to dealing with multiple-display environments. In such environments, which have become popular recently, the point-of-gaze should be estimated on multiple screens. Therefore, we propose a cross-ratio based gaze estimation using a polarization camera for multiple screens. The point-of-gaze can be estimated on each monitor by identifying the screen reflected on the corneal surface at a polarization angle. Near-infrared light emitting diodes (NIR-LEDs) attached to the display are not required. This means that standard displays can be used with high general versatility as an advantage.},","Adjunct Proceedings of the 32nd Annual ACM Symposium on User Interface Software and Technology},","1–3},","3},","gaze estimation, multiple displays, polarization},","New Orleans, LA, USA},",UIST '19 Adjunct,"108},"
"Tomohiro, Ayuri and Sumi, Yasuyuki},","Reconstruction of Scene from Multiple Sketches},","2016},","9781450345316},","Association for Computing Machinery},","New York, NY, USA},","https://doi.org/10.1145/2984751.2985736},","10.1145/2984751.2985736},","This paper discusses the feasibility of extension of expressive style with multiple 3D sketches drawn by a sketching tool that enables its users to draw and paint on 3D structured surfaces. Users of our proposed system take a picture of target objects and sketch with reference to the taken picture. They can not only sketch on the pictures but can also change their viewpoint of the sketched environment, since the system captures 3D structure by using a depth sensor as well as RGB data. Trial usage of the system shows that our users can rapidly extract their target objects/space and extend their ideas by taking pictures and drawing/painting on them. This paper presents examples of system usage, and discusses the feasibility of extension of sketches.},","Adjunct Proceedings of the 29th Annual ACM Symposium on User Interface Software and Technology},","143–144},","2},","interactive illustrations, sketching},","Tokyo, Japan},",UIST '16 Adjunct,"108},"
"Suzuki, Ryo and Ofek, Eyal and Sinclair, Mike and Leithinger, Daniel and Gonzalez-Franco, Mar},","Demonstrating HapticBots: Distributed Encountered-type Haptics for VR with Multiple Shape-changing Mobile Robots},","2021},","9781450386555},","Association for Computing Machinery},","New York, NY, USA},","https://doi.org/10.1145/3474349.3480202},","10.1145/3474349.3480202},","HapticBots introduces a novel encountered-type haptic approach for Virtual Reality (VR) based on multiple tabletop-size shape-changing robots. These robots move on a tabletop and change their height and orientation to haptically render various surfaces and objects on-demand. Compared to previous encountered-type haptic approaches like shape displays or robotic arms, our proposed approach has an advantage in deployability, scalability, and generalizability—these robots can be easily deployed due to their compact form factor. They can support multiple concurrent touch points in a large area thanks to the distributed nature of the robots. We propose and evaluate a novel set of interactions enabled by these robots which include: 1) rendering haptics for VR objects by providing just-in-time touch-points on the user’s hand, 2) simulating continuous surfaces with the concurrent height and position change, and 3) enabling the user to pick up and move VR objects through graspable proxy objects. Finally, we demonstrate HapticBots with various applications, including remote collaboration, education and training, design and 3D modeling, and gaming and entertainment.},","Adjunct Proceedings of the 34th Annual ACM Symposium on User Interface Software and Technology},","131–133},","3},","encountered-type haptics, swarm user interfaces, tabletop mobile robots, virtual reality},","Virtual Event, USA},",UIST '21 Adjunct,"108},"
"Shirai, Ryo and Itoh, Yuichi and Ueda, Shori and Onoye, Takao},","OptRod: Constructing Interactive Surface with Multiple Functions and Flexible Shape by Projected Image},","2018},","9781450359498},","Association for Computing Machinery},","New York, NY, USA},","https://doi.org/10.1145/3266037.3271639},","10.1145/3266037.3271639},","In this demonstration, we propose OptRod, constructing interactive surface with multiple functions and flexible shape by projected image. A PC generates images as control signals and projects them to the bottom of OptRods by a projector or LCD. An OptRod receives the light and converts its brightness into a control signal for the attached output device. By using multiple OptRods, the PC can simultaneously operate many output devices without any signal lines. Moreover, we can arrange surfaces of various shapes easily by combining multiple OptRods. OptRod supports various functions by replacing the device unit connected to OptRod.},","Adjunct Proceedings of the 31st Annual ACM Symposium on User Interface Software and Technology},","169–171},","3},","actuated surface, controlled by image, multi functional display, shape-free display, visible light communication},","Berlin, Germany},",UIST '18 Adjunct,"108},"
