list,title,doi,documentPage
https://dblp.org/rec/conf/atal/2006coin,"Coordination, Organizations, Institutions, and Norms in Agent Systems II - AAMAS 2006 and ECAI 2006 International Workshops, COIN 2006 Hakodate, Japan, May 9, 2006 Riva del Garda, Italy, August 28, 2006. Revised Selected Papers",https://doi.org/10.1007/978-3-540-74459-7,https://doi.org/10.1007/978-3-540-74459-7
https://dblp.org/rec/conf/atal/2016coin,"Coordination, Organizations, Institutions, and Norms in Agent Systems XII - COIN 2016 International Workshops, COIN@AAMAS, Singapore, Singapore, May 9, 2016, COIN@ECAI, The Hague, The Netherlands, August 30, 2016, Revised Selected Papers",https://doi.org/10.1007/978-3-319-66595-5,https://doi.org/10.1007/978-3-319-66595-5
https://dblp.org/rec/conf/atal/AldewereldDGNRS06a,Operationalisation of Norms for Electronic Institutions.,https://doi.org/10.1007/978-3-540-74459-7_11,https://doi.org/10.1007/978-3-540-74459-7_11
https://dblp.org/rec/conf/atal/BouLR06,Towards Self-configuration in Autonomic Electronic Institutions.,https://doi.org/10.1007/978-3-540-74459-7_15,https://doi.org/10.1007/978-3-540-74459-7_15
https://dblp.org/rec/conf/atal/CauvinKSV16,Towards a Distributed Data-Sharing Economy.,https://doi.org/10.1007/978-3-319-66595-5_1,https://doi.org/10.1007/978-3-319-66595-5_1
https://dblp.org/rec/conf/atal/CliffeVP06,Specifying and Reasoning About Multiple Institutions.,https://doi.org/10.1007/978-3-540-74459-7_5,https://doi.org/10.1007/978-3-540-74459-7_5
https://dblp.org/rec/conf/atal/Cranefield06,Modelling and Monitoring Social Expectations in Multi-agent Systems.,https://doi.org/10.1007/978-3-540-74459-7_20,https://doi.org/10.1007/978-3-540-74459-7_20
https://dblp.org/rec/conf/atal/DennisSF16,"""How Did They Know?"" - Model-Checking for Analysis of Information Leakage in Social Networks.",https://doi.org/10.1007/978-3-319-66595-5_3,https://doi.org/10.1007/978-3-319-66595-5_3
https://dblp.org/rec/conf/atal/DignumD06,Coordinating Tasks in Agent Organizations - Or: Can We Ask You to Read This Paper?,https://doi.org/10.1007/978-3-540-74459-7_3,https://doi.org/10.1007/978-3-540-74459-7_3
https://dblp.org/rec/conf/atal/DimuroCGH06,Centralized Regulation of Social Exchanges Between Personality-Based Agents.,https://doi.org/10.1007/978-3-540-74459-7_22,https://doi.org/10.1007/978-3-540-74459-7_22
https://dblp.org/rec/conf/atal/FelicissimoCBL06,Informing Regulatory Dynamics in Open MASs.,https://doi.org/10.1007/978-3-540-74459-7_10,https://doi.org/10.1007/978-3-540-74459-7_10
https://dblp.org/rec/conf/atal/FrancoCS16a,An Empirical Approach for Relating Environmental Patterns with Agent Team Compositions.,https://doi.org/10.1007/978-3-319-66595-5_6,https://doi.org/10.1007/978-3-319-66595-5_6
https://dblp.org/rec/conf/atal/GaertnerCS06,Ballroom etiquette:  A Case Study for Norm-Governed Multi-Agent Systems.,https://doi.org/10.1007/978-3-540-74459-7_14,https://doi.org/10.1007/978-3-540-74459-7_14
https://dblp.org/rec/conf/atal/Garcia-CaminoRS06,Norm-Oriented Programming of Electronic Institutions: A Rule-Based Approach.,https://doi.org/10.1007/978-3-540-74459-7_12,https://doi.org/10.1007/978-3-540-74459-7_12
https://dblp.org/rec/conf/atal/GateauBK006,Controlling an Interactive Game with a Multi-agent Based Normative Organisational Model.,https://doi.org/10.1007/978-3-540-74459-7_6,https://doi.org/10.1007/978-3-540-74459-7_6
https://dblp.org/rec/conf/atal/Gomez-SebastiaD16,Modelling Patient-Centric Healthcare Using Socially Intelligent Systems: The AVICENA Experience.,https://doi.org/10.1007/978-3-319-66595-5_2,https://doi.org/10.1007/978-3-319-66595-5_2
