list,title,doi,documentPage
https://dblp.org/rec/conf/ekaw/0001BVOT18,A Query Model for Ontology-Based Event Processing over RDF Streams.,https://doi.org/10.1007/978-3-030-03667-6_28,https://doi.org/10.1007/978-3-030-03667-6_28
https://dblp.org/rec/conf/ekaw/0001dFE14,Tackling the Class-Imbalance Learning Problem in Semantic Web Knowledge Bases.,https://doi.org/10.1007/978-3-319-13704-9_35,https://doi.org/10.1007/978-3-319-13704-9_35
https://dblp.org/rec/conf/ekaw/0001FdE18,A Framework for Tackling Myopia in Concept Learning on the Web of Data.,https://doi.org/10.1007/978-3-030-03667-6_22,https://doi.org/10.1007/978-3-030-03667-6_22
https://dblp.org/rec/conf/ekaw/0001FLB16,Integrating New Refinement Operators in Terminological Decision Trees Learning.,https://doi.org/10.1007/978-3-319-49004-5_33,https://doi.org/10.1007/978-3-319-49004-5_33
https://dblp.org/rec/conf/ekaw/1992,"Current Developments in Knowledge Acquisition - EKAW'92, 6th European Knowledge Acquisition Workshop, Heidelberg and Kaiserslautern, Germany, May 18-22, 1992",https://doi.org/10.1007/3-540-55546-3,https://doi.org/10.1007/3-540-55546-3
https://dblp.org/rec/conf/ekaw/1993,"Knowledge Acquisition for Knowledge-Based Systems, 7th European Workshop, EKAW'93, Toulouse and Caylus, France, September 6-10, 1993, Proceedings",https://doi.org/10.1007/3-540-57253-8,https://doi.org/10.1007/3-540-57253-8
https://dblp.org/rec/conf/ekaw/1994,"A Future for Knowledge Acquisition, 8th European Knowledge Acquisition Workshop, EKAW'94, Hoegaarden, Belgium, September 26-29, 1994, Proceedings",https://doi.org/10.1007/3-540-58487-0,https://doi.org/10.1007/3-540-58487-0
https://dblp.org/rec/conf/ekaw/1996,"Advances in Knowledge Acquisition, 9th European Knowledge Acquisition Workshop, EKAW'96, Nottingham, UK, May 14-17, 1996, Proceedings",https://doi.org/10.1007/3-540-61273-4,https://doi.org/10.1007/3-540-61273-4
https://dblp.org/rec/conf/ekaw/1997,"Knowledge Acquisition, Modeling and Management, 10th European Workshop, EKAW'97, Sant Feliu de Guixols, Catalonia, Spain, October 15-18, 1997, Proceedings",https://doi.org/10.1007/BFB0026773,https://doi.org/10.1007/BFB0026773
https://dblp.org/rec/conf/ekaw/1999,"Knowledge Acquisition, Modeling and Management, 11th European Workshop, EKAW '99, Dagstuhl Castle, Germany, May 26-29, 1999, Proceedings",https://doi.org/10.1007/3-540-48775-1,https://doi.org/10.1007/3-540-48775-1
https://dblp.org/rec/conf/ekaw/2000,"Knowledge Acquisition, Modeling and Management, 12th International Conference, EKAW 2000, Juan-les-Pins, France, October 2-6, 2000, Proceedings",https://doi.org/10.1007/3-540-39967-4,https://doi.org/10.1007/3-540-39967-4
https://dblp.org/rec/conf/ekaw/2002,"Knowledge Engineering and Knowledge Management. Ontologies and the Semantic Web, 13th International Conference, EKAW 2002, Siguenza, Spain, October 1-4, 2002, Proceedings",https://doi.org/10.1007/3-540-45810-7,https://doi.org/10.1007/3-540-45810-7
https://dblp.org/rec/conf/ekaw/2004,"Engineering Knowledge in the Age of the Semantic Web, 14th International Conference, EKAW 2004, Whittlebury Hall, UK, October 5-8, 2004, Proceedings",https://doi.org/10.1007/B101291,https://doi.org/10.1007/B101291
https://dblp.org/rec/conf/ekaw/2006,"Managing Knowledge in a World of Networks, 15th International Conference, EKAW 2006, Podebrady, Czech Republic, October 2-6, 2006, Proceedings",https://doi.org/10.1007/11891451,https://doi.org/10.1007/11891451
https://dblp.org/rec/conf/ekaw/2008,"Knowledge Engineering: Practice and Patterns, 16th International Conference, EKAW 2008, Acitrezza, Italy, September 29 - October 2, 2008. Proceedings",https://doi.org/10.1007/978-3-540-87696-0,https://doi.org/10.1007/978-3-540-87696-0
https://dblp.org/rec/conf/ekaw/2010,"Knowledge Engineering and Management by the Masses - 17th International Conference, EKAW 2010, Lisbon, Portugal, October 11-15, 2010. Proceedings",https://doi.org/10.1007/978-3-642-16438-5,https://doi.org/10.1007/978-3-642-16438-5
https://dblp.org/rec/conf/ekaw/2010pd,"Proceedings of the EKAW2010 Poster and Demo Track, Lisbon, Portugal, October 11 - 15, 2010",,https://ceur-ws.org/Vol-674
https://dblp.org/rec/conf/ekaw/2012,"Knowledge Engineering and Knowledge Management - 18th International Conference, EKAW 2012, Galway City, Ireland, October 8-12, 2012. Proceedings",https://doi.org/10.1007/978-3-642-33876-2,https://doi.org/10.1007/978-3-642-33876-2
