list,title,doi,documentPage
https://dblp.org/rec/conf/hhai/0001GS23,Leveraging Diversity in Online Interactions (Short Paper).,,https://ceur-ws.org/Vol-3456/short5-9.pdf
https://dblp.org/rec/conf/hhai/000324,Operationalising AI Governance - a Hands-on Approach to Responsible AI.,,https://ceur-ws.org/Vol-3825/keynote6-2.pdf
https://dblp.org/rec/conf/hhai/2022,"HHAI 2022: Augmenting Human Intellect - Proceedings of the First International Conference on Hybrid Human-Artificial Intelligence, Amsterdam, The Netherlands, 13-17 June 2022.",https://doi.org/10.3233/FAIA354,https://doi.org/10.3233/FAIA354
https://dblp.org/rec/conf/hhai/2023,"HHAI 2023: Augmenting Human Intellect - Proceedings of the Second International Conference on Hybrid Human-Artificial Intelligence, June 26-30, 2023, Munich, Germany.",,https://ebooks.iospress.nl/volume/hhai-2023-augmenting-human-intellect-proceedings-of-the-second-international-conference-on-hybrid-human-artificial-intelligence
https://dblp.org/rec/conf/hhai/2023w,"Proceedings of the Workshops at the Second International Conference on Hybrid Human-Artificial Intelligence co-located with (HHAI 2023), Munich, Germany, June 26-27, 2023.",,https://ceur-ws.org/Vol-3456
https://dblp.org/rec/conf/hhai/2023w,"Proceedings of the Workshops at the Second International Conference on Hybrid Human-Artificial Intelligence co-located with (HHAI 2023), Munich, Germany, June 26-27, 2023.",,https://nbn-resolving.org/urn:nbn:de:0074-3456-8
https://dblp.org/rec/conf/hhai/2024,"HHAI 2024: Hybrid Human AI Systems for the Social Good - Proceedings of the Third International Conference on Hybrid Human-Artificial Intelligence, Malmö, Sweden, 10-14 June 2024.",https://doi.org/10.3233/FAIA386,https://doi.org/10.3233/FAIA386
https://dblp.org/rec/conf/hhai/2024w,"Proceedings of the Workshops at the Third International Conference on Hybrid Human-Artificial Intelligence co-located with (HHAI 2024), Malmö, Sweden, June 10-11, 2024.",,https://ceur-ws.org/Vol-3825
https://dblp.org/rec/conf/hhai/2024w,"Proceedings of the Workshops at the Third International Conference on Hybrid Human-Artificial Intelligence co-located with (HHAI 2024), Malmö, Sweden, June 10-11, 2024.",,https://nbn-resolving.org/urn:nbn:de:0074-3825-7
https://dblp.org/rec/conf/hhai/AbramskiCLRS24,Cognitive Network Science Unveils Affective Bias in GPT Models Mirroring Math Anxiety in High-School Students.,https://doi.org/10.3233/FAIA240221,https://doi.org/10.3233/FAIA240221
https://dblp.org/rec/conf/hhai/AbramskiLRS24,LLM-Generated Word Association Norms.,https://doi.org/10.3233/FAIA240177,https://doi.org/10.3233/FAIA240177
https://dblp.org/rec/conf/hhai/AbuhaimedS22,Effective Task Allocation in Ad Hoc Human-Agent Teams.,https://doi.org/10.3233/FAIA220197,https://doi.org/10.3233/FAIA220197
https://dblp.org/rec/conf/hhai/AchonSHCGC23,'SOS TUTORÍA UC': A Diversity-Aware Application for Tutor Recommendation Based on Competence and Personality (Short Paper).,,https://ceur-ws.org/Vol-3456/short5-8.pdf
https://dblp.org/rec/conf/hhai/AdanH23,CollEagle; Tangible Human-AI Interaction for Collocated Collaboration.,https://doi.org/10.3233/FAIA230115,https://doi.org/10.3233/FAIA230115
https://dblp.org/rec/conf/hhai/AdhikariGDV24,Beyond Skills: The Role of Values in Job Seeking in the Era of Industry 5.0.,https://doi.org/10.3233/FAIA240178,https://doi.org/10.3233/FAIA240178
https://dblp.org/rec/conf/hhai/AkintundeYFCD024,Formal Specification of Actual Trust in Multiagent Systems.,https://doi.org/10.3233/FAIA240179,https://doi.org/10.3233/FAIA240179
https://dblp.org/rec/conf/hhai/AlfieriDGGS23,Ethical Preferences in the Digital World: The EXOSOUL Questionnaire.,https://doi.org/10.3233/FAIA230092,https://doi.org/10.3233/FAIA230092
https://dblp.org/rec/conf/hhai/AlfieriIMP22,Exosoul: Ethical Profiling in the Digital World.,https://doi.org/10.3233/FAIA220194,https://doi.org/10.3233/FAIA220194
https://dblp.org/rec/conf/hhai/AlfieriSDI24,In Search of Clarity: Discerning Between Human Replacement and Augmentation.,https://doi.org/10.3233/FAIA240180,https://doi.org/10.3233/FAIA240180
https://dblp.org/rec/conf/hhai/Armaselu24,Playing the Imitation Game: Human-AI Simulators in Pedagogic Design.,https://doi.org/10.3233/FAIA240181,https://doi.org/10.3233/FAIA240181
https://dblp.org/rec/conf/hhai/Aydin24,Assisting Users in Privacy Conflicts with Partially Observable Multi-Agent Reinforcement Learning.,https://doi.org/10.3233/FAIA240182,https://doi.org/10.3233/FAIA240182
https://dblp.org/rec/conf/hhai/BakkerBMBR22,A Hybrid Approach for Creating Knowledge Graphs: Recognizing Emerging Technologies in Dutch Companies.,https://doi.org/10.3233/FAIA220226,https://doi.org/10.3233/FAIA220226
