list,title,doi,documentPage
https://dblp.org/rec/conf/iclr/0001000DFNC25,Efficient Inference for Large Language Model-based Generative Recommendation.,,https://openreview.net/forum?id=ACSNlt77hq
https://dblp.org/rec/conf/iclr/00010024,"TD-MPC2: Scalable, Robust World Models for Continuous Control.",,https://openreview.net/forum?id=Oxh5CstDJU
https://dblp.org/rec/conf/iclr/00010025,Learning a Fast Mixing Exogenous Block MDP using a Single Trajectory.,,https://openreview.net/forum?id=41WIgfdd5o
https://dblp.org/rec/conf/iclr/000100BCX24,Label-Agnostic Forgetting: A Supervision-Free Unlearning in Deep Models.,,https://openreview.net/forum?id=SIZWiya7FE
https://dblp.org/rec/conf/iclr/000100CLH025,Effective and Efficient Time-Varying Counterfactual Prediction with State-Space Models.,,https://openreview.net/forum?id=yheQRc5xWB
https://dblp.org/rec/conf/iclr/000100LDC23,Multimodal Analogical Reasoning over Knowledge Graphs.,,https://openreview.net/forum?id=NRHajbzg8y0P
https://dblp.org/rec/conf/iclr/000100OYX23,RPM: Generalizable Multi-Agent Policies for Multi-Agent Reinforcement Learning.,,https://openreview.net/forum?id=HnSceSzlfrY
https://dblp.org/rec/conf/iclr/000100V25,Approximation algorithms for combinatorial optimization with predictions.,,https://openreview.net/forum?id=AEFVa6VMu1
https://dblp.org/rec/conf/iclr/000100WJZJ25,SleepSMC: Ubiquitous Sleep Staging via Supervised Multimodal Coordination.,,https://openreview.net/forum?id=B5VEi5d3p2
https://dblp.org/rec/conf/iclr/000100Z0W25,PEARL: Towards Permutation-Resilient LLMs.,,https://openreview.net/forum?id=txoJvjfI9w
https://dblp.org/rec/conf/iclr/0001023,Faster federated optimization under second-order similarity.,,https://openreview.net/forum?id=ElC6LYO4MfD
https://dblp.org/rec/conf/iclr/0001023a,Contrastive Alignment of Vision to Language Through Parameter-Efficient Transfer Learning.,,https://openreview.net/forum?id=x0BPR9iXc1
https://dblp.org/rec/conf/iclr/0001024,Neural Neighborhood Search for Multi-agent Path Finding.,,https://openreview.net/forum?id=2NpAw2QJBY
https://dblp.org/rec/conf/iclr/00010DY0Z22,Context-Aware Sparse Deep Coordination Graphs.,,https://openreview.net/forum?id=wQfgfb8VKTn
https://dblp.org/rec/conf/iclr/00010EB25,Bi-Factorial Preference Optimization: Balancing Safety-Helpfulness in Language Models.,,https://openreview.net/forum?id=GjM61KRiTG
