list,title,doi,documentPage
https://dblp.org/rec/conf/semweb/00010LXPKQ21,PCSG: Pattern-Coverage Snippet Generation for RDF Datasets.,https://doi.org/10.1007/978-3-030-88361-4_1,https://doi.org/10.1007/978-3-030-88361-4_1
https://dblp.org/rec/conf/semweb/00010V017,Stressless RSP Benchmarking With RSPLab.,,https://ceur-ws.org/Vol-1963/paper529.pdf
https://dblp.org/rec/conf/semweb/0001AL19,Extending Ontologies in the Nanotechnology Domain using Topic Models and Formal Topical Concept Analysis on Unstructured Text.,,https://ceur-ws.org/Vol-2456/paper2.pdf
https://dblp.org/rec/conf/semweb/0001CDB0VA16,TripleWave: Spreading RDF Streams on the Web.,https://doi.org/10.1007/978-3-319-46547-0_15,https://doi.org/10.1007/978-3-319-46547-0_15
https://dblp.org/rec/conf/semweb/0001CDBVA15,Where Are the RDF Streams?: On Deploying RDF Streams on the Web of Data with TripleWave.,,https://ceur-ws.org/Vol-1486/paper_95.pdf
https://dblp.org/rec/conf/semweb/0001CN14,Multilingual Word Sense Disambiguation and Entity Linking for Everybody.,,https://ceur-ws.org/Vol-1272/paper_30.pdf
https://dblp.org/rec/conf/semweb/0001dFE13,Assertion Prediction with Ontologies through Evidence Combination.,https://doi.org/10.1007/978-3-642-35975-0_15,https://doi.org/10.1007/978-3-642-35975-0_15
https://dblp.org/rec/conf/semweb/0001HAL23,OBG-gen: Ontology-Based GraphQL Server Generation for Data Integration.,,https://ceur-ws.org/Vol-3632/ISWC2023_paper_396.pdf
https://dblp.org/rec/conf/semweb/0001K17,SQID: Towards Ontological Reasoning for Wikidata.,,https://ceur-ws.org/Vol-1963/paper639.pdf
https://dblp.org/rec/conf/semweb/0001KRHR23,Correlating Eye Gaze with Object to Enrich Cultural Heritage Knowledge Graph.,,https://ceur-ws.org/Vol-3632/ISWC2023_paper_429.pdf
https://dblp.org/rec/conf/semweb/0001L22,The Green AI Ontology: An Ontology for Modeling the Energy Consumption of AI Models.,,https://ceur-ws.org/Vol-3254/paper361.pdf
https://dblp.org/rec/conf/semweb/0001L23,Linked Papers With Code: The Latest in Machine Learning as an RDF Knowledge Graph.,,https://ceur-ws.org/Vol-3632/ISWC2023_paper_467.pdf
https://dblp.org/rec/conf/semweb/0001LKXNU13,Semantic Rule Filtering for Web-Scale Relation Extraction.,https://doi.org/10.1007/978-3-642-41335-3_22,https://doi.org/10.1007/978-3-642-41335-3_22
https://dblp.org/rec/conf/semweb/0001LSNBM22,An Extensible Approach for Query-Driven Multimodal Knowledge Graph Completion.,,https://ceur-ws.org/Vol-3254/paper353.pdf
https://dblp.org/rec/conf/semweb/0001LV21,"AGDLI: ArCo, GVP and DBpedia Linking Initiative.",,https://ceur-ws.org/Vol-2980/paper304.pdf
https://dblp.org/rec/conf/semweb/0001MHVMV17,Representing Dockerfiles in RDF.,,https://ceur-ws.org/Vol-1963/paper528.pdf
https://dblp.org/rec/conf/semweb/0001NTKH17,"Alexa, Ask Wikidata! Voice Interaction with Knowledge Graphs using Amazon Alexa.",,https://ceur-ws.org/Vol-1963/paper576.pdf
https://dblp.org/rec/conf/semweb/0001OKGL17,RelVis: Benchmarking OpenIE Systems.,,https://ceur-ws.org/Vol-1963/paper527.pdf
https://dblp.org/rec/conf/semweb/0001RFVS19,Bootstrapping the Publication of Linked Data Streams.,,https://ceur-ws.org/Vol-2456/paper8.pdf
https://dblp.org/rec/conf/semweb/0001SDBAPVC18,VoCaLS: Describing Streams on the Web.,,https://ceur-ws.org/Vol-2180/paper-72.pdf
https://dblp.org/rec/conf/semweb/0001SNY16,Implementing Customer Reception Service in Robot Cafe using Stream Reasoning and ROS based on PRINTEPS.,,https://ceur-ws.org/Vol-1690/paper106.pdf
https://dblp.org/rec/conf/semweb/0001SSMOM21,Supporting Polystore Queries using Provenance in a Hyperknowledge Graph.,,https://ceur-ws.org/Vol-2980/paper368.pdf
https://dblp.org/rec/conf/semweb/0001V17a,Yasper 1.0: Towards an RSP-QL Engine.,,https://ceur-ws.org/Vol-1963/paper487.pdf
https://dblp.org/rec/conf/semweb/0001V18,L'Inking You To A Knowledge Graph.,,https://ceur-ws.org/Vol-2180/ISWC_2018_Outrageous_Ideas_paper_20.pdf
https://dblp.org/rec/conf/semweb/0002BBEENSSTVWX24,openCypher over RDF: Connecting Two Worlds.,,https://ceur-ws.org/Vol-3828/paper29.pdf
https://dblp.org/rec/conf/semweb/0002GSA21,Temporal Evolution of the Migration-related Topics on Social Media.,,https://ceur-ws.org/Vol-2980/paper375.pdf
https://dblp.org/rec/conf/semweb/0002JN022,The Knowledge Graph Lifecycle in NTT DATA.,,https://ceur-ws.org/Vol-3254/paper402.pdf
