list,title,doi,documentPage
https://dblp.org/rec/conf/i-semantics/0001BPK17,Multi-core Meta-blocking for Big Linked Data.,https://doi.org/10.1145/3132218.3132230,https://doi.org/10.1145/3132218.3132230
https://dblp.org/rec/conf/i-semantics/0002FP24,Semantic Smart Readiness Indicator Framework.,https://doi.org/10.3233/SSW240015,https://doi.org/10.3233/SSW240015
https://dblp.org/rec/conf/i-semantics/0002K22,Attribute-based Access Control on Solid Pods using Privacy-friendly Credentials.,,https://ceur-ws.org/Vol-3235/paper1.pdf
https://dblp.org/rec/conf/i-semantics/0002PS13,City Data Pipeline - A System for Making Open Data Useful for Cities.,,https://ceur-ws.org/Vol-1026/paper10.pdf
https://dblp.org/rec/conf/i-semantics/0002PSHN18,CostFed: Cost-Based Query Optimization for SPARQL Endpoint Federation.,https://doi.org/10.1016/J.PROCS.2018.09.016,https://doi.org/10.1016/J.PROCS.2018.09.016
https://dblp.org/rec/conf/i-semantics/0003GV22,Metadata Based Contextual Summarizer for Technical Conversations in Public Forums.,https://doi.org/10.3233/SSW220019,https://doi.org/10.3233/SSW220019
https://dblp.org/rec/conf/i-semantics/2009,"5th International Conference on Semantic Systems, Graz, Austria, September 2-4, 2009. Proceedings",,
https://dblp.org/rec/conf/i-semantics/2010,"Proceedings the 6th International Conference on Semantic Systems, I-SEMANTICS 2010, Graz, Austria, September 1-3, 2010",https://doi.org/10.1145/1839707,https://doi.org/10.1145/1839707
https://dblp.org/rec/conf/i-semantics/2011,"Proceedings the 7th International Conference on Semantic Systems, I-SEMANTICS 2011, Graz, Austria, September 7-9, 2011",https://doi.org/10.1145/2063518,https://doi.org/10.1145/2063518
https://dblp.org/rec/conf/i-semantics/2012,"I-SEMANTICS 2012 - 8th International Conference on Semantic Systems, I-SEMANTICS '12, Graz, Austria, September 5-7, 2012",,http://dl.acm.org/citation.cfm?id=2362499
https://dblp.org/rec/conf/i-semantics/2012p,"Proceedings of the I-SEMANTICS 2012 Posters & Demonstrations Track, Graz, Austria, September 5-7, 2012",,https://ceur-ws.org/Vol-932
https://dblp.org/rec/conf/i-semantics/2012p,"Proceedings of the I-SEMANTICS 2012 Posters & Demonstrations Track, Graz, Austria, September 5-7, 2012",,https://nbn-resolving.org/urn:nbn:de:0074-932-3
https://dblp.org/rec/conf/i-semantics/2013,"I-SEMANTICS 2013 - 9th International Conference on Semantic Systems, I-SEMANTICS '13, Graz, Austria, September 4-6, 2013",,http://dl.acm.org/citation.cfm?id=2506182
https://dblp.org/rec/conf/i-semantics/2013p,"Proceedings of the I-SEMANTICS 2013 Posters & Demonstrations Track, Graz, Austria, September 4-6, 2013",,https://ceur-ws.org/Vol-1026
https://dblp.org/rec/conf/i-semantics/2013p,"Proceedings of the I-SEMANTICS 2013 Posters & Demonstrations Track, Graz, Austria, September 4-6, 2013",,https://nbn-resolving.org/urn:nbn:de:0074-1026-7
https://dblp.org/rec/conf/i-semantics/2014,"Proceedings of the 10th International Conference on Semantic Systems, SEMANTiCS 2014, Leipzig, Germany, September 4-5, 2014",,http://dl.acm.org/citation.cfm?id=2660517
https://dblp.org/rec/conf/i-semantics/2014p,"Proceedings of the Posters and Demos Track of 10th International Conference on Semantic Systems - SEMANTiCS2014, Leipzig, Germany, September 4-5, 2014.",,https://ceur-ws.org/Vol-1224
https://dblp.org/rec/conf/i-semantics/2015,"Proceedings of the 11th International Conference on Semantic Systems, SEMANTiCS 2015, Vienna, Austria, September 15-17, 2015",,http://dl.acm.org/citation.cfm?id=2814864
https://dblp.org/rec/conf/i-semantics/2015p,"Joint Proceedings of the Posters and Demos Track of 11th International Conference on Semantic Systems - SEMANTiCS 2015 and 1st Workshop on Data Science: Methods, Technology and Applications (DSci15) 11th International Conference on Semantic Systems - SEMANTiCS 2015, Vienna, Austria, September 15-17, 2015.",,https://ceur-ws.org/Vol-1481
https://dblp.org/rec/conf/i-semantics/2015p,"Joint Proceedings of the Posters and Demos Track of 11th International Conference on Semantic Systems - SEMANTiCS 2015 and 1st Workshop on Data Science: Methods, Technology and Applications (DSci15) 11th International Conference on Semantic Systems - SEMANTiCS 2015, Vienna, Austria, September 15-17, 2015.",,https://nbn-resolving.org/urn:nbn:de:0074-1481-4
https://dblp.org/rec/conf/i-semantics/2016,"Proceedings of the 12th International Conference on Semantic Systems, SEMANTiCS 2016, Leipzig, Germany, September 12-15, 2016",,http://dl.acm.org/citation.cfm?id=2993318
https://dblp.org/rec/conf/i-semantics/2016p,"Joint Proceedings of the Posters and Demos Track of the 12th International Conference on Semantic Systems - SEMANTiCS2016 and the 1st International Workshop on Semantic Change & Evolving Semantics (SuCCESS'16) co-located with the 12th International Conference on Semantic Systems (SEMANTiCS 2016), Leipzig, Germany, September 12-15, 2016.",,https://nbn-resolving.org/urn:nbn:de:0074-1695-3
https://dblp.org/rec/conf/i-semantics/2017,"Proceedings of the 13th International Conference on Semantic Systems, SEMANTiCS 2017, Amsterdam, The Netherlands, September 11-14, 2017",https://doi.org/10.1145/3132218,https://doi.org/10.1145/3132218
https://dblp.org/rec/conf/i-semantics/2017pd,"Proceedings of the Posters and Demos Track of the 13th International Conference on Semantic Systems - SEMANTiCS2017 co-located with the 13th International Conference on Semantic Systems (SEMANTiCS 2017), Amsterdam, The Netherlands, September 11-14, 2017.",,https://ceur-ws.org/Vol-2044
https://dblp.org/rec/conf/i-semantics/2017pd,"Proceedings of the Posters and Demos Track of the 13th International Conference on Semantic Systems - SEMANTiCS2017 co-located with the 13th International Conference on Semantic Systems (SEMANTiCS 2017), Amsterdam, The Netherlands, September 11-14, 2017.",,https://nbn-resolving.org/urn:nbn:de:0074-2044-0
https://dblp.org/rec/conf/i-semantics/2017w,"Joint Proceedings of SEMANTiCS 2017 Workshops co-located with the 13th International Conference on Semantic Systems (SEMANTiCS 2017), Amsterdam, Netherlands, September 11 and 14, 2017.",,https://ceur-ws.org/Vol-2063
https://dblp.org/rec/conf/i-semantics/2017w,"Joint Proceedings of SEMANTiCS 2017 Workshops co-located with the 13th International Conference on Semantic Systems (SEMANTiCS 2017), Amsterdam, Netherlands, September 11 and 14, 2017.",,https://nbn-resolving.org/urn:nbn:de:0074-2063-4
https://dblp.org/rec/conf/i-semantics/2018,"Proceedings of the 14th International Conference on Semantic Systems, SEMANTiCS 2018, Vienna, Austria, September 10-13, 2018",,https://www.sciencedirect.com/science/journal/18770509/137
https://dblp.org/rec/conf/i-semantics/2018pd,"Proceedings of the Posters and Demos Track of the 14th International Conference on Semantic Systems co-located with the 14th International Conference on Semantic Systems (SEMANTiCS 2018), Vienna, Austria, September 10-13, 2018.",,https://ceur-ws.org/Vol-2198
https://dblp.org/rec/conf/i-semantics/2018pd,"Proceedings of the Posters and Demos Track of the 14th International Conference on Semantic Systems co-located with the 14th International Conference on Semantic Systems (SEMANTiCS 2018), Vienna, Austria, September 10-13, 2018.",,https://nbn-resolving.org/urn:nbn:de:0074-2198-0
https://dblp.org/rec/conf/i-semantics/2019,"Semantic Systems. The Power of AI and Knowledge Graphs - 15th International Conference, SEMANTiCS 2019, Karlsruhe, Germany, September 9-12, 2019, Proceedings",https://doi.org/10.1007/978-3-030-33220-4,https://doi.org/10.1007/978-3-030-33220-4
https://dblp.org/rec/conf/i-semantics/2019pd,"Proceedings of the Posters and Demo Track of the 15th International Conference on Semantic Systems co-located with 15th International Conference on Semantic Systems (SEMANTiCS 2019), Karlsruhe, Germany, September 9th - to - 12th, 2019.",,https://ceur-ws.org/Vol-2451
https://dblp.org/rec/conf/i-semantics/2019pd,"Proceedings of the Posters and Demo Track of the 15th International Conference on Semantic Systems co-located with 15th International Conference on Semantic Systems (SEMANTiCS 2019), Karlsruhe, Germany, September 9th - to - 12th, 2019.",,https://nbn-resolving.org/urn:nbn:de:0074-2451-7
https://dblp.org/rec/conf/i-semantics/2020,"Semantic Systems. In the Era of Knowledge Graphs - 16th International Conference on Semantic Systems, SEMANTiCS 2020, Amsterdam, The Netherlands, September 7-10, 2020, Proceedings",https://doi.org/10.1007/978-3-030-59833-4,https://doi.org/10.1007/978-3-030-59833-4
https://dblp.org/rec/conf/i-semantics/2021,"Further with Knowledge Graphs - Proceedings of the 17th International Conference on Semantic Systems, SEMANTiCS 2017, Amsterdam, The Netherlands, September 6-9, 2021",https://doi.org/10.3233/SSW53,https://doi.org/10.3233/SSW53
https://dblp.org/rec/conf/i-semantics/2021pd,"Joint Proceedings of the Semantics co-located events: Poster&Demo track and Workshop on Ontology-Driven Conceptual Modelling of Digital Twins co-located with Semantics 2021, Amsterdam and Online, September 6-9, 2021.",,https://ceur-ws.org/Vol-2941
https://dblp.org/rec/conf/i-semantics/2021pd,"Joint Proceedings of the Semantics co-located events: Poster&Demo track and Workshop on Ontology-Driven Conceptual Modelling of Digital Twins co-located with Semantics 2021, Amsterdam and Online, September 6-9, 2021.",,https://nbn-resolving.org/urn:nbn:de:0074-2941-5
https://dblp.org/rec/conf/i-semantics/2022,"Towards a Knowledge-Aware AI - SEMANTiCS 2022 - Proceedings of the 18th International Conference on Semantic Systems, 13-15 September 2022, Vienna, Austria",https://doi.org/10.3233/SSW55,https://doi.org/10.3233/SSW55
https://dblp.org/rec/conf/i-semantics/2022pd,"Proceedings of Poster and Demo Track and Workshop Track of the 18th International Conference on Semantic Systems co-located with 18th International Conference on Semantic Systems (SEMANTiCS 2022), Vienna, Austria, September 13th to 15th, 2022.",,https://ceur-ws.org/Vol-3235
https://dblp.org/rec/conf/i-semantics/2022pd,"Proceedings of Poster and Demo Track and Workshop Track of the 18th International Conference on Semantic Systems co-located with 18th International Conference on Semantic Systems (SEMANTiCS 2022), Vienna, Austria, September 13th to 15th, 2022.",,https://nbn-resolving.org/urn:nbn:de:0074-3235-0
https://dblp.org/rec/conf/i-semantics/2023,"Knowledge Graphs: Semantics, Machine Learning, and Languages - Proceedings of the 19th International Conference on Semantic Systems, 20-22 September 2023, Leipzig, Germany",https://doi.org/10.3233/SSW56,https://doi.org/10.3233/SSW56
https://dblp.org/rec/conf/i-semantics/2023pd,"Proceedings of the Posters and Demo Track of the 19th International Conference on Semantic Systems co-located with 19th International Conference on Semantic Systems (SEMANTiCS 2023), Leipzing, Germany, September 20 to 22, 2023.",,https://ceur-ws.org/Vol-3526
https://dblp.org/rec/conf/i-semantics/2023pd,"Proceedings of the Posters and Demo Track of the 19th International Conference on Semantic Systems co-located with 19th International Conference on Semantic Systems (SEMANTiCS 2023), Leipzing, Germany, September 20 to 22, 2023.",,https://nbn-resolving.org/urn:nbn:de:0074-3526-1
https://dblp.org/rec/conf/i-semantics/2023w,"Joint Workshop Proceedings of the 5th International Workshop on A Semantic Data Space For Transport (Sem4Tra) and 2nd NLP4KGC: Natural Language Processing for Knowledge Graph Construction co-located with the 19th International Conference on Semantic Systems (SEMANTiCS 2023), Leipzig, Germany and Online, 20 September, 2023.",,https://ceur-ws.org/Vol-3510
https://dblp.org/rec/conf/i-semantics/2023w,"Joint Workshop Proceedings of the 5th International Workshop on A Semantic Data Space For Transport (Sem4Tra) and 2nd NLP4KGC: Natural Language Processing for Knowledge Graph Construction co-located with the 19th International Conference on Semantic Systems (SEMANTiCS 2023), Leipzig, Germany and Online, 20 September, 2023.",,https://nbn-resolving.org/urn:nbn:de:0074-3510-6
https://dblp.org/rec/conf/i-semantics/2024,"Knowledge Graphs in the Age of Language Models and Neuro-Symbolic AI - Proceedings of the 20th International Conference on Semantic Systems, 17-19 September 2024, Amsterdam, The Netherlands",https://doi.org/10.3233/SSW60,https://doi.org/10.3233/SSW60
https://dblp.org/rec/conf/i-semantics/2024pd,"Joint Proceedings of Posters, Demos, Workshops, and Tutorials of the 20th International Conference on Semantic Systems co-located with 20th International Conference on Semantic Systems (SEMANTiCS 2024), Amsterdam, The Netherlands, September 17-19, 2024.",,https://ceur-ws.org/Vol-3759
https://dblp.org/rec/conf/i-semantics/2024pd,"Joint Proceedings of Posters, Demos, Workshops, and Tutorials of the 20th International Conference on Semantic Systems co-located with 20th International Conference on Semantic Systems (SEMANTiCS 2024), Amsterdam, The Netherlands, September 17-19, 2024.",,https://nbn-resolving.org/urn:nbn:de:0074-3759-2
https://dblp.org/rec/conf/i-semantics/Aasman09,GeoTemporal Reasoning for the Social Semantic Web.,,
https://dblp.org/rec/conf/i-semantics/AbdelmageedH24,A systematic approach towards higher quality linked open data at Nieuwe Instituut.,,https://ceur-ws.org/Vol-3759/paper9.pdf
https://dblp.org/rec/conf/i-semantics/AbelaSH11,Online activity graph for document importance and association.,https://doi.org/10.1145/2063518.2063547,https://doi.org/10.1145/2063518.2063547
https://dblp.org/rec/conf/i-semantics/AbelHHK10,"Linkage, aggregation, alignment and enrichment of public user profiles with Mypes.",https://doi.org/10.1145/1839707.1839721,https://doi.org/10.1145/1839707.1839721
https://dblp.org/rec/conf/i-semantics/Abi-LahoudRM17,Linking Data To Understand The Fintech Ecosystem.,,https://ceur-ws.org/Vol-2044/paper18/
https://dblp.org/rec/conf/i-semantics/AcetaFS21,TODO: A Core Ontology for Task-Oriented Dialogue Systems in Industry 4.0.,https://doi.org/10.3233/SSW210031,https://doi.org/10.3233/SSW210031
https://dblp.org/rec/conf/i-semantics/AdamouCGP13,The foundations of virtual ontology networks.,https://doi.org/10.1145/2506182.2506189,https://doi.org/10.1145/2506182.2506189
https://dblp.org/rec/conf/i-semantics/AdamoudAM17,Supporting virtual integration of Linked Data with just-in-time query recompilation.,https://doi.org/10.1145/3132218.3132227,https://doi.org/10.1145/3132218.3132227
https://dblp.org/rec/conf/i-semantics/AdebayoCB16,A Supervised KeyPhrase Extraction System.,https://doi.org/10.1145/2993318.2993323,https://doi.org/10.1145/2993318.2993323
https://dblp.org/rec/conf/i-semantics/AdrianKMD09,Using iDocument for Document Categorization in Nepomuk Social Semantic Desktop.,,
https://dblp.org/rec/conf/i-semantics/Afzal09,Applying Ontological Framework for Finding Links into the Future from Web.,,
https://dblp.org/rec/conf/i-semantics/Agt-RickauerHS18,Semantic Annotation and Automated Extraction of Audio-Visual Staging Patterns in Large-Scale Empirical Film Studies.,,https://ceur-ws.org/Vol-2198/paper_109.pdf
https://dblp.org/rec/conf/i-semantics/AhmedSN18,On the Effect of Geometries Simplification on Geo-spatial Link Discovery.,https://doi.org/10.1016/J.PROCS.2018.09.014,https://doi.org/10.1016/J.PROCS.2018.09.014
https://dblp.org/rec/conf/i-semantics/AhmedSN23,COBALT: A Content-Based Similarity Approach for Link Discovery over Geospatial Knowledge Graphs.,https://doi.org/10.3233/SSW230013,https://doi.org/10.3233/SSW230013
https://dblp.org/rec/conf/i-semantics/AkaichiK22,A Semantic Policy Language for Usage Control.,,https://ceur-ws.org/Vol-3235/paper10.pdf
https://dblp.org/rec/conf/i-semantics/AlamBDEFGHMNST21,Ontology Modelling for Materials Science Experiments.,,https://ceur-ws.org/Vol-2941/paper11.pdf
https://dblp.org/rec/conf/i-semantics/AlexopoulosL17,"Modeling, Measuring and Exploiting Concept Drift in the Labour Market Domain.",,https://ceur-ws.org/Vol-2063/dal-paper1.pdf
https://dblp.org/rec/conf/i-semantics/AlexopoulosPWK11,Exploiting ontological relations for automatic semantic tag recommendation.,https://doi.org/10.1145/2063518.2063532,https://doi.org/10.1145/2063518.2063532
https://dblp.org/rec/conf/i-semantics/AlexopoulosVG13,Knowledge Tagger: Customizable Semantic Entity Resolution using Ontological Evidence.,,https://ceur-ws.org/Vol-1026/paper4.pdf
https://dblp.org/rec/conf/i-semantics/AliCLC21,Personalizing Type-Based Facet Ranking Using BERT Embeddings.,https://doi.org/10.3233/SSW210040,https://doi.org/10.3233/SSW210040
https://dblp.org/rec/conf/i-semantics/AliFIKH18,Cross-Lingual Ontology Enrichment Based on Multi-Agent Architecture.,https://doi.org/10.1016/J.PROCS.2018.09.013,https://doi.org/10.1016/J.PROCS.2018.09.013
https://dblp.org/rec/conf/i-semantics/AllgaierVTOH21,LLOD-Driven Bilingual Word Embeddings Rivaling Cross-Lingual Transformers in Quality of Life Concept Detection from French Online Health Communities.,https://doi.org/10.3233/SSW210037,https://doi.org/10.3233/SSW210037
https://dblp.org/rec/conf/i-semantics/AlmuhaimeedF15,A semantic method for multiple resources exploitation.,https://doi.org/10.1145/2814864.2814868,https://doi.org/10.1145/2814864.2814868
https://dblp.org/rec/conf/i-semantics/AlnemrPM10,Enabling reputation interoperability through semantic technologies.,https://doi.org/10.1145/1839707.1839723,https://doi.org/10.1145/1839707.1839723
https://dblp.org/rec/conf/i-semantics/AlpersBPWO19,Legal challenges of Robotic Process Automation (RPA) in administrative services.,,https://ceur-ws.org/Vol-2451/paper-01.pdf
https://dblp.org/rec/conf/i-semantics/AnadiotisAVZ09,Linked Data for the masses - using open source infrastructure and the inbound/outbound Linked Data approach to bring added value to end user applications.,,
