PT	AU	BA	CA	GP	RI	OI	BE	Z2	AU	AA	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	VN	VH	DI	D2	L1	L2	L3	EA	SU	DT	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	G1	NR	CR	LA	AS	AC	CG	DG	C1	C3	EC	DE	DA	UT	PM	
J	Tsenova, Violeta; Wood, Gavin; Kirk, David					Kirk, David/0000-0003-2776-0643; Tsenova, Violeta/0000-0002-1720-7679; Wood, Gavin/0000-0001-7187-2197					Designing with Genius Loci: An Approach to Polyvocality in Interactive Heritage Interpretation								MULTIMODAL TECHNOLOGIES AND INTERACTION				6	6					41			10.3390/mti6060041							Article	JUN 2022	2022	Co-design with communities interested in heritage has oriented itself towards designing for polyvocality to diversify the accepted knowledges, values and stories associated with heritage places. However, engagement with heritage theory has only recently been addressed in HCI design, resulting in some previous work reinforcing the same realities that designers set out to challenge. There is need for an approach that supports designers in heritage settings in working critically with polyvocality to capture values, knowledges, and authorised narratives and reflect on how these are negotiated and presented in the designs created. We contribute "Designing with Genius Loci" (DwGL)-our proposed approach to co-design for polyvocality. We conceptualised DwGL through long-term engagement with volunteers and staff at a UK heritage site. First, we used ongoing recruitment to incentivise participation. We held a series of making workshops to explore participants' attitudes towards authorised narratives. We built participants' commitments to collaboration by introducing the common goal of creating an interactive digital design. Finally, as we designed, we enacted our own commitments to the heritage research and to participants' experiences. These four steps form the backbone of our proposed approach and serve as points of reflexivity. We applied DwGL to co-creating three designs: Un/Authorised View, SDH Palimpsest and Loci Stories, which we present in an annotated portfolio. Grounded in research through design, we reflect on working with the proposed approach and provide three lessons learned, guiding further research efforts in this design space: (1) creating a conversation between authorised and personal heritage stories; (2) designing using polyvocality negotiates voices; and (3) designs engender existing qualities and values. The proposed approach places polyvocality foremost in interactive heritage interpretation and facilitates valuable discussions between the designers and communities involved.									5	0	0	0	0	0	6				2414-4088										Univ Luxembourg, C2DH, L-4365 Esch Sur Alzette, LuxembourgNorthumbria Univ, Comp & Informat Sci, Newcastle Upon Tyne NE1 8ST, Tyne & Wear, EnglandNewcastle Univ, Sch Comp, Open Lab, Newcastle Upon Tyne NE4 5TG, Tyne & Wear, England				2022-07-06	WOS:000818406800001		
B	Nunes, Maria Goretti Vicente; Campos, Pedro José Ramos Moreira										Polycentrism in Portugal: An Assessment																												Dissertation/Thesis	Jan 01 2010	2010										0	0	0	0	0	0	0					9798382056999									Universidade do Porto (Portugal), Portugal	Universidade do Porto (Portugal)				PQDT:88574817		
J	Priss, Uta					Priss, Uta/0000-0003-0375-429X					A semiotic perspective on polysemy								ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE				90	11-12			1125	1138				10.1007/s10472-022-09795-1					APR 2022		Article	DEC 2022	2022	This paper extends Semiotic-Conceptual Analysis (SCA) to provide a means for comparing and evaluating semiotic relations (i.e. sets of signs) with respect to their ability of and efficiency of expressing conceptual structures. One contributing factor for efficiency is polysemy which refers to reusing representamens of signs in different contexts. Two different types of polysemy are identified: ambiguous polysemy which encodes a view from part signs to compound signs and simultaneous polysemy for analysing how compound signs simultaneously denote more than one meaning. Two detailed examples are included.									2	0	0	0	0	0	2			1012-2443	1573-7470										Ostfalia Univ, Fak Informat, Wolfenbuttel, Germany	Ostfalia Univ			2022-04-26	WOS:000783737800001		
B	Buitelaar, Peter Paul										CORELEX: Systematic polysemy and underspecification																												Dissertation/Thesis	Jan 01 1998	1998										0	0	0	0	0	0	0					978-0-591-71766-2									Brandeis University, Massachusetts, United States	Brandeis University				PQDT:65023209		
J	Wagner, RE										Self-governance, polycentrism, and federalism: recurring themes in Vincent Ostrom's scholarly oeuvre								JOURNAL OF ECONOMIC BEHAVIOR & ORGANIZATION				57	2			173	188				10.1016/j.jebo.2004.06.015							Article; Proceedings Paper	JUN 2005	2005	This paper addresses Vincent Ostrom's treatment of self-governance, polycentrism, and federalism through which he has generated a coherent vision of political economy. After examining some ontological and epistemological presuppositions that are central to his work, the rest of the paper explores four topical areas: (1) his examination of knowledge, belief, and the requisites for good civic practice; (2) his conceptualization of a polycentric public economy; (3) his articulation of the problem of public administration through his conceptualization of a municipal services industry; (4) his treatment of federalism as a compound republic rather than simply a form of administrative decentralization. (c) 2005 Elsevier B.V. All rights reserved.					Academic Conference inHonor of the Work of Elimor and Vincent OstromAcademic Conference inHonor of the Work of Elimor and Vincent Ostrom	NOV   07, 2003NOV   07, 2003		George Mason Univ, Arlington, VAGeorge Mason Univ, Arlington, VA	48	2	0	0	3	0	57			0167-2681											George Mason Univ, Dept Econ, Fairfax, VA 22030 USA				2005-06-01	WOS:000229957600005		
J	Zhong, Xubin; Ding, Changxing; Qu, Xian; Tao, Dacheng				Tao, Dacheng/A-5449-2012						Polysemy Deciphering Network for Robust Human-Object Interaction Detection								INTERNATIONAL JOURNAL OF COMPUTER VISION				129	6			1910	1929				10.1007/s11263-021-01458-8					APR 2021		Article	JUN 2021	2021	Human-Object Interaction (HOI) detection is important to human-centric scene understanding tasks. Existing works tend to assume that the same verb has similar visual characteristics in different HOI categories, an approach that ignores the diverse semantic meanings of the verb. To address this issue, in this paper, we propose a novel Polysemy Deciphering Network (PD-Net) that decodes the visual polysemy of verbs for HOI detection in three distinct ways. First, we refine features for HOI detection to be polysemy-aware through the use of two novel modules: namely, Language Prior-guided Channel Attention (LPCA) and Language Prior-based Feature Augmentation (LPFA). LPCA highlights important elements in human and object appearance features for each HOI category to be identified; moreover, LPFA augments human pose and spatial features for HOI detection using language priors, enabling the verb classifiers to receive language hints that reduce intra-class variation for the same verb. Second, we introduce a novel Polysemy-Aware Modal Fusion module, which guides PD-Net to make decisions based on feature types deemed more important according to the language priors. Third, we propose to relieve the verb polysemy problem through sharing verb classifiers for semantically similar HOI categories. Furthermore, to expedite research on the verb polysemy problem, we build a new benchmark dataset named HOI-VerbPolysemy (HOI-VP), which includes common verbs (predicates) that have diverse semantic meanings in the real world. Finally, through deciphering the visual polysemy of verbs, our approach is demonstrated to outperform state-of-the-art methods by significant margins on the HICO-DET, V-COCO, and HOI-VP databases. Code and data in this paper are available at .									42	3	0	0	1	0	44			0920-5691	1573-1405										South China Univ Technol, Sch Elect & Informat Engn, Guangzhou 510000, Peoples R ChinaPazhou Lab, Guangzhou 510330, Peoples R ChinaJD Com, JD Explore Acad, Beijing, Peoples R China	JD Com			2021-05-19	WOS:000641238700004		
J	Haber, Janosch; Poesio, Massimo				Poesio, Massimo/LIF-5376-2024						Polysemy-Evidence from Linguistics, Behavioral Science, and Contextualized Language Models								COMPUTATIONAL LINGUISTICS				50	1			351	417				10.1162/coli_a_00500							Article	MAR 1 2023	2023	Polysemy is the type of lexical ambiguity where a word has multiple distinct but related interpretations. In the past decade, it has been the subject of a great many studies across multiple disciplines including linguistics, psychology, neuroscience, and computational linguistics, which have made it increasingly clear that the complexity of polysemy precludes simple, universal answers, especially concerning the representation and processing of polysemous words. But fuelled by the growing availability of large, crowdsourced datasets providing substantial empirical evidence; improved behavioral methodology; and the development of contextualized language models capable of encoding the fine-grained meaning of a word within a given context, the literature on polysemy recently has developed more complex theoretical analyses.In this survey we discuss these recent contributions to the investigation of polysemy against the backdrop of a long legacy of research across multiple decades and disciplines. Our aim is to bring together different perspectives to achieve a more complete picture of the heterogeneity and complexity of the phenomenon of polysemy. Specifically, we highlight evidence supporting a range of hybrid models of the mental processing of polysemes. These hybrid models combine elements from different previous theoretical approaches to explain patterns and idiosyncrasies in the processing of polysemous that the best known models so far have failed to account for. Our literature review finds that (i) traditional analyses of polysemy can be limited in their generalizability by loose definitions and selective materials; (ii) linguistic tests provide useful evidence on individual cases, but fail to capture the full range of factors involved in the processing of polysemous sense extensions; and (iii) recent behavioral (psycho) linguistics studies, large-scale annotation efforts, and investigations leveraging contextualized language models provide accumulating evidence suggesting that polysemous sense similarity covers a wide spectrum between identity of sense and homonymy-like unrelatedness of meaning.We hope that the interdisciplinary account of polysemy provided in this survey inspires further fundamental research on the nature of polysemy and better equips applied research to deal with the complexity surrounding the phenomenon, for example, by enabling the development of benchmarks and testing paradigms for large language models informed by a greater portion of the rich evidence on the phenomenon currently available.									4	0	0	0	0	0	4			0891-2017	1530-9312										Queen Mary Univ London, Sch Elect Engn & Comp Sci, Chattermill, London, EnglandQueen Mary Univ London, London, EnglandUniv Utrecht, Utrecht, Netherlands				2023-03-01	WOS:001205186000003		
J									Thelma Silveira da Mota Lessa da Fonseca; Rafael Amaral Hyertquist Bordini		Nietzsche and the becoming: criticism the truth and the unfinished of the perspectivism																												Awarded Grant	Jul 01 2013	2013	This research project intends to show that Nietzsche has traced the paths of Heraclitus becoming over the course of his work, and it is accurately this influence that Heraclitus exercised on Nietzsche's philosophy that provides subsidies for this current work. The first goal will be to go through Nietzsche's critics to the idea of truth. Nietzsche endorses a motion for disputation of interpretations on the detriment of a system of inalienable truths or of a theory of knowledge. The philosopher is positioned in the benefit of the "perspectivism" contrary to the belief of a finished truth and free of questioning. The purpose in its first stage will be to understand how we can assign the Heraclitus becoming to a two-way street, of which Nietzsche appropriates to conduct his criticism of truth, and also, to what extent, the becoming is the bottom line for the formulation of his "perspectivism". The second stage, is intended to propose a detailed argument starting from this idea of "perspectivism", and then the problem: the "perspectivism" wouldn't suggest a kind of inverted theory of knowledge, which is what Nietzsche strongly criticized?(AU)									0	0	0	0	0	0	0						12/20446-0								Centro de Educação e Ciências Humanas (CECH). Universidade Federal de São Carlos (UFSCAR). São Carlos , SP, BrazilCentro de Educação e Ciências Humanas (CECH). Universidade Federal de São Carlos (UFSCAR). São Carlos , SP, Brazil	Centro de Educação e Ciências Humanas (CECH). Universidade Federal de São Carlos (UFSCAR). São Carlos , SP, BrazilCentro de Educação e Ciências Humanas (CECH). Universidade Federal de São Carlos (UFSCAR). São Carlos , SP, Brazil			2023-12-08	GRANTS:16410366		
B	Simpson, William Franklin										A measure of polysemy on "Roget's International Thesaurus Fourth Edition". (Volumes I and II)																												Dissertation/Thesis	Jan 01 1987	1987										0	0	0	0	0	0	0					979-8-206-43627-3									University of Kansas, Kansas, United States	University of Kansas				PQDT:65392757		
J	Cech, Radek; Macutek, Jan; Zabokrtsky, Zdenek; Horak, Ales				Cech, Radek/D-8300-2014; Zabokrtsky, Zdenek/M-7595-2017; Žabokrtský, Zdeněk/M-7595-2017; Horak, Ales/J-4813-2013; Mačutek, Ján/AAH-9490-2020	Macutek, Jan/0000-0003-1712-4395; Zabokrtsky, Zdenek/0000-0001-8149-4054; Cech, Radek/0000-0002-4412-4588; 					Polysemy and synonymy in syntactic dependency networks								DIGITAL SCHOLARSHIP IN THE HUMANITIES				32	1			36	49				10.1093/llc/fqv028							Article	APR 2017	2017	The relationship between two important semantic properties (polysemy and synonymy) of language and one of the most fundamental syntactic network properties (a degree of the node) is observed. Based on the synergetic theory of language, it is hypothesized that a word which occurs in more syntactic contexts, i.e. it has a higher degree, should be more polysemous and have more synonyms than a word which occurs in less syntactic contexts, i.e. it has a lesser degree. Six languages are used for hypotheses testing and, tentatively, the hypotheses are corroborated. The analysis of syntactic dependency networks presented in this study brings a new interpretation of the well-known relationship between frequency and polysemy (or synonymy).									5	0	0	0	0	0	5			2055-7671	2055-768X										Univ Ostrava, Dept Czech Language, Realni 5, CZ-70103 Ostrava, Czech RepublicComenius Univ, Dept Appl Math & Stat, Bratislava, SlovakiaCharles Univ Prague, Inst Formal & Appl Linguist, Prague, Czech RepublicMasaryk Univ, Nat Language Proc Ctr, Brno, Czech Republic				2017-04-26	WOS:000398126100003		
